activity_id,source_commercial_activity_id,store_name,category_name,category_group,quartiere_id,x_coord,y_coord,address
824,EP,,Somministrazione,somministrazione,14,1391373.46,4992297.447,VIA PIETRO COSSA 11
825,EP,,Somministrazione,somministrazione,14,1391394.818,4992360.829,VIA PIETRO COSSA 19/B
826,EP,,Somministrazione,somministrazione,11,1393030.243,4987855.665,CORSO COSENZA 54/B
827,EP,,Somministrazione,somministrazione,11,1392944.411,4987929.226,CORSO COSENZA 66/A
828,EP,,Somministrazione,somministrazione,3,1395045.164,4990017.785,VIA CRISTOFORO COLOMBO 2 bis/C
829,EP,,Somministrazione,somministrazione,18,1398103.677,4993909.396,VIA DOMENICO CIMAROSA 67/A
830,EP,,Somministrazione,somministrazione,21,1398570.014,4991300.857,CORSO CASALE 89/A
831,EP,,Somministrazione,somministrazione,21,1398593.361,4991306.218,CORSO CASALE 91/B
832,EP,,Somministrazione,somministrazione,21,1398615.0,4991311.187,CORSO CASALE 93/B
833,EP,,Somministrazione,somministrazione,21,1398701.621,4991314.116,CORSO CASALE 100/D
834,EP,,Somministrazione,somministrazione,1,1396487.638,4992187.943,PIAZZA CESARE AUGUSTO 15/B
835,EP,,Somministrazione,somministrazione,3,1394838.484,4990266.959,VIA GIAN DOMENICO CASSINI 5/A
836,EP,,Somministrazione,somministrazione,22,1397850.578,4990944.47,CORSO CASALE 34/B
837,EP,,Somministrazione,somministrazione,5,1393748.472,4991387.828,VIA CESANA 54/B
838,EP,,Somministrazione,somministrazione,5,1393715.83,4991157.767,VIA CESANA 73
839,EP,,Somministrazione,somministrazione,21,1398494.37573087,4991283.48160528,CORSO CASALE 79/B
840,EP,,Somministrazione,somministrazione,22,1397617.567,4990805.649,CORSO CASALE 2/C
841,EP,,Somministrazione,somministrazione,5,1393832.015625,4991698.57604167,VIA CESANA 11/F
842,EP,,Somministrazione,somministrazione,22,1397718.517,4990882.357,CORSO CASALE 18/B
843,EP,,Somministrazione,somministrazione,21,1401339.444,4991956.906,STRADA DEL CARTMAN 59
844,EP,,DIA di somministrazione,somministrazione,18,1396819.191,4993945.766,VIA CERVINO 6
845,EP,,Somministrazione,somministrazione,18,1396786.16394802,4993937.85190863,VIA CERVINO 9/B
846,EP,,DIA di somministrazione,somministrazione,20,1401588.91528795,4995294.75703791,STRADA DEL CASCINOTTO 228
847,EP,,DIA di somministrazione,somministrazione,14,1391142.409,4992860.039,VIA VALENTINO CARRERA 176/A
848,EP,,Somministrazione,somministrazione,14,1391712.912,4992792.924,VIA VALENTINO CARRERA 111
849,EP,,Somministrazione,somministrazione,1,1395275.936,4991954.237,VIA CERNAIA 31/E
850,EP,,Somministrazione,somministrazione,1,1395242.128,4992008.754,VIA CERNAIA 46/C
851,EP,,Somministrazione,somministrazione,7,1397590.339,4992308.23,VIA CATANIA 36/A
852,EP,,Somministrazione,somministrazione,1,1395766.195,4991743.652,VIA CERNAIA 16 scala B
853,EP,,Somministrazione,somministrazione,1,1395771.338,4991731.676,VIA CERNAIA 16/A
854,EP,,Somministrazione,somministrazione,1,1395640.52,4991800.244,VIA CERNAIA 22/A
855,EP,,DIA di somministrazione,somministrazione,1,1395628.466,4991806.164,VIA CERNAIA 22
856,EP,,Somministrazione,somministrazione,1,1395551.936,4991846.086,VIA CERNAIA 26/E
857,EP,,Somministrazione,somministrazione,23,1391671.387,4987772.192,PIAZZA RICCARDO CATTANEO 9
858,EP,,DIA di somministrazione,somministrazione,7,1397261.66,4992116.436,VIA CATANIA 4/A
859,EP,,Somministrazione,somministrazione,7,1397240.154,4992120.965,VIA CATANIA 5/A
860,EP,,Somministrazione,somministrazione,7,1397296.393,4992155.255,VIA CATANIA 9/C
861,EP,,Somministrazione,somministrazione,7,1397337.999,4992154.99,VIA CATANIA 10/B
862,EP,,Somministrazione,somministrazione,4,1392795.252,4990955.034,VIA CARSO 18/A
863,EP,,Somministrazione,somministrazione,7,1397485.105,4992244.44,VIA CATANIA 24/A
864,EP,,Somministrazione,somministrazione,2,1396461.138,4989613.189,VIALE CARLO CEPPI 5
865,EP,,DIA di somministrazione,somministrazione,2,1396461.138,4989613.189,VIALE CARLO CEPPI 5
866,EP,,Somministrazione,somministrazione,10,1392811.321,4986584.487,VIA CERCENASCO 5/B
867,EP,,DIA di somministrazione,somministrazione,21,1400107.25,4992342.268,VIA ALFREDO CATALANI 4
868,EP,,Somministrazione,somministrazione,5,1394381.987,4992062.436,VIA GOFFREDO CASALIS 59/D
869,EP,,Somministrazione,somministrazione,21,1400733.885,4993572.598,CORSO CASALE 466
870,EP,,Somministrazione,somministrazione,18,1397947.023,4994111.678,VIA LUIGI SALVATORE CHERUBINI 71/C
