WKT_GEOM;C_COMP_MERC;INDIRIZZ;CARRAIO;FRONTE;INSEGNA;ANNO_INI;MESE_INI;TIPO_MER;DESC_RIP;DETT_RIP;CAT_MER;PREVALEN;TIPO_LOC;MQ_TOT_L;MQ_TOT_V;TIPO_ADD;NOME_ADD;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1395053.855 4992767.544);CF;PIAZZA INNOCENZO VIGLIARDI PARAVIA 9/C;No;No;;2021;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;150614;18;18;N;NEGOZIO;648;16;4;330;10144;1395053,855;4992767,544
POINT (1395056.855 4992766.004);CF;PIAZZA INNOCENZO VIGLIARDI PARAVIA 9/D;No;No;;2001;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Elettronica;S;8412;.;32;N;NEGOZIO;648;16;4;330;10144;1395056,855;4992766,004
POINT (1394800.293 4994840.991);CF;PIAZZA PASQUALE VILLARI 1/F;No;No;;2018;3;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Panetteria;S;28358;42;33;N;NEGOZIO;1972;48;5;504;10149;1394800,293;4994840,991
POINT (1394867.79114583 4994907.21875);EP;PIAZZA PASQUALE VILLARI 4/B;No;No;;2017;3;             .;Somministrazione;B;Nessuna;;50343;63;;N;;1884;45;5;456;10149;1394867,79114583;4994907,21875
POINT (1394867.79114583 4994907.21875);CF;PIAZZA PASQUALE VILLARI 4/B;No;No;;2015;5;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Mista;S;132779;71;6;N;NEGOZIO;1884;45;5;456;10149;1394867,79114583;4994907,21875
POINT (1394866.51647132 4994904.64496598);CF;PIAZZA PASQUALE VILLARI 4;No;No;;2017;3;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Minimercato;S;137837;85;32;N;NEGOZIO;1884;45;5;456;10149;1394866,51647132;4994904,64496598
POINT (1394807.94894218 4994955.22159865);CF;PIAZZA PASQUALE VILLARI 7/C;No;No;;2020;7;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Cialde caffè;S;146958;25;18;N;NEGOZIO;1961;48;5;504;10149;1394807,94894218;4994955,22159865
POINT (1394807.94894218 4994955.22159865);CF;PIAZZA PASQUALE VILLARI 7/C;No;No;;2020;7;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;146958;25;18;N;NEGOZIO;1961;48;5;504;10149;1394807,94894218;4994955,22159865
POINT (1394818.166 4994976.606);AE;PIAZZA PASQUALE VILLARI 11/D;No;No;;2023;6;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;155203;40;.;N;;1961;48;5;504;10149;1394818,166;4994976,606
POINT (1394823.123 4994986.98);CF;PIAZZA PASQUALE VILLARI 11/G;No;No;;2015;2;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Negozio con apparecchi automatici;S;132077;39;6;N;NEGOZIO;1961;48;5;504;10149;1394823,123;4994986,98
POINT (1394819.193 4994978.755);CF;PIAZZA PASQUALE VILLARI 11;No;No;;2022;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Oggettistica;S;152320;.;1;N;NEGOZIO;1961;48;5;504;10149;1394819,193;4994978,755
POINT (1394819.193 4994978.755);CF;PIAZZA PASQUALE VILLARI 11;No;No;;2020;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;146956;60;30;N;NEGOZIO;1961;48;5;504;10149;1394819,193;4994978,755
POINT (1394892.449 4994958.591);CF;PIAZZA PASQUALE VILLARI 12;Si;No;;2004;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Acconciatore/Estetista;S;108680;5;.;N;;1884;45;5;456;10149;1394892,449;4994958,591
POINT (1394892.449 4994958.591);AE;PIAZZA PASQUALE VILLARI 12;Si;No;;1997;4;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;108338;49;.;N;;1884;45;5;456;10149;1394892,449;4994958,591
POINT (1394885.241 4994984.374);CF;PIAZZA PASQUALE VILLARI 16/A;No;No;;2018;11;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Mista;S;142277;25;15;N;NEGOZIO;1883;45;5;456;10149;1394885,241;4994984,374
POINT (1394885.241 4994984.374);CF;PIAZZA PASQUALE VILLARI 16/A;No;No;;2014;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Oggetti preziosi;S;130525;10;10;N;NEGOZIO;1883;45;5;456;10149;1394885,241;4994984,374
POINT (1394885.241 4994984.374);CF;PIAZZA PASQUALE VILLARI 16/A;No;No;;2014;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Vendita al dettaglio di cose antiche ed usate;N;130525;10;10;N;NEGOZIO;1883;45;5;456;10149;1394885,241;4994984,374
POINT (1395003.916 4994435.301);AE;VIA VEROLENGO 70/A;No;No;;2005;10;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;62952;0;.;;;4409;44;5;508;10149;1395003,916;4994435,301
POINT (1395003.916 4994435.301);CF;VIA VEROLENGO 70/A;No;No;;2005;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Acconciatore/Estetista;S;15543;65;40;N;NEGOZIO;4409;44;5;508;10149;1395003,916;4994435,301
POINT (1394995.127 4994435.562);EP;VIA VEROLENGO 70/B;No;No;;2025;1;             .;Somministrazione;B;Nessuna;;100708;70;;N;;4409;44;5;508;10149;1394995,127;4994435,562
POINT (1392690.358 4991426.037);CF;VIA CANDIDO VIBERTI 11;No;No;;2022;2;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;151298;33;33;N;NEGOZIO;2085;51;3;271;10141;1392690,358;4991426,037
POINT (1392675.781 4991383.505);CF;VIA CANDIDO VIBERTI 15;No;No;;1994;5;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Macelleria;S;9674;51;.;N;NEGOZIO;2085;51;3;271;10141;1392675,781;4991383,505
POINT (1396154.597 4994260.166);EP;VIA VIBO' 6/A;No;No;;1996;12;ALTRO;Somministrazione;A;Nessuna;;47968;154;;N;;1802;42;5;427;10147;1396154,597;4994260,166
POINT (1394125.064 4991157.519);CF;VIA VIGONE 2/D;No;No;;2024;7;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;158658;26;3;N;;1454;33;3;0;10138;1394125,064;4991157,519
POINT (1394120.636 4991156.891);CF;VIA VIGONE 2/E;No;No;;2021;11;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;150597;32;18;N;NEGOZIO;1454;33;3;0;10138;1394120,636;4991156,891
POINT (1394108.272 4991155.136);CF;VIA VIGONE 4/A;No;No;;2025;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Articoli per animali;S;161019;33;33;N;;1454;33;3;238;10138;1394108,272;4991155,136
