ID_QUART,DENOM,neighborhood_name_clean,statistical_zone_clean,n_somministrazione,neighborhood_clean,total_population,stores_per_1000_residents,distance_to_nearest_metro,normalized_population,normalized_competition,normalized_distance_to_metro,retail_opportunity_score,opportunity_level,longitude,latitude
1,Centro,centro,01,290,1 centro,42244,6.864880219676167,983.7142963363962,0.6716871128385764,0.9181800311771351,0.26667184694659196,-0.07243817952395626,Low Opportunity,7.680855333125345,45.0695162088816
2,San Salvario,san salvario,02,8,2 san salvario,34977,0.22872173142350685,1178.0515249820728,0.4951536499453419,0.0,0.3357208475835465,0.15567497295869454,High Opportunity,7.6791146508592885,45.05129590934269
3,Crocetta,crocetta,03,164,3 crocetta,34009,4.822252933047134,837.2511270099343,0.4716385278756225,0.6355617680599529,0.21463274181685943,-0.053135829640325254,Low Opportunity,7.6662951223575,45.05779633662828
8,Vanchiglia,vanchiglia,08,89,8 vanchiglia,29935,2.973108401536663,367.9060768385948,0.37267095833839425,0.37971381225858886,0.04787207071909741,0.025227682817951853,Medium Opportunity,7.711068260975648,45.075891895949155
7,Aurora,aurora,07,96,7 aurora,39692,2.4186234001813967,713.5097763811572,0.6096927001093162,0.30299517198909076,0.17066681383729462,0.13418004208555162,High Opportunity,7.687365873917644,45.08172573229745
22,Borgo Po e Cavoretto,borgo po e cavoretto,22,66,22 borgo po e cavoretto,19947,3.308768235824936,3047.653812297762,0.13003765334628933,0.42615576473113576,1.0,-0.2906375736500673,Very Low Opportunity,7.70135189909356,45.041641894689505
21,Madonna del Pilone,madonna del pilone,21,24,21 madonna del pilone,14594,1.6445114430587913,2040.377948074939,0.0,0.19588890829999406,0.6421097888705645,-0.1969830756791108,Very Low Opportunity,7.739449432686855,45.067526659459176
6,San Donato,san donato,06,160,6 san donato,49381,3.2401125939126385,1235.254088783898,0.8450625531398033,0.41665655829369,0.3560452079334054,0.16323931192343893,High Opportunity,7.6602126048013615,45.08327654163295
5,Cenisia,cenisia,05,142,5 cenisia,36856,3.8528326459735185,399.7253610317622,0.5407992226405928,0.5014326102068576,0.0591776233907745,0.056022711937711696,High Opportunity,7.653431409066508,45.07038111588099
16,Madonna di Campagna,madonna di campagna,16,118,16 madonna di campagna,41605,2.8361975724071624,431.448574913084,0.6561642171747845,0.36077080636426884,0.07044904179456042,0.15491430714224688,High Opportunity,7.663887020473661,45.11524765184769
17,Borgata Vittoria,borgata vittoria,17,93,17 borgata vittoria,40500,2.2962962962962963,326.8177024194123,0.6293210251427184,0.28606997283089464,0.033273163390773346,0.17641533814525548,High Opportunity,7.681925803748448,45.10462153666788
13,Pozzo Strada,pozzo strada,13,57,13 pozzo strada,55759,1.0222564967090515,1883.9750657615075,1.0,0.10979360677111687,0.5865390534240296,0.2942644269453032,Very High Opportunity,7.624040648448253,45.067125077548944
18,Barriera di Milano,barriera di milano,18,38,18 barriera di milano,50505,0.7524007524007524,471.5174376986131,0.872367302319932,0.07245631951962388,0.08468571148096635,0.3502684319159078,Very High Opportunity,7.695844044594034,45.090655514248574
20,Regio Parco,regio parco,20,108,20 regio parco,28799,3.750130212854613,233.17095442901473,0.34507469938054175,0.4872226838752286,0.0,-0.01524432463508621,Medium Opportunity,7.727361740504252,45.100904921230565
19,Falchera,falchera,19,110,19 falchera,25970,4.235656526761648,243.93954491339082,0.2763512692821572,0.554400188274745,0.0038261346855494975,-0.0704472216562999,Low Opportunity,7.703921651445549,45.120567848605056
15,Le Valette,le vallette,15,20,15 le vallette,40717,0.4911953238205172,1321.497131845933,0.6345924936232236,0.03631589144184497,0.38668779750218396,0.19551850062536802,High Opportunity,7.636381651753751,45.10076153565845
23,Mirafiori Sud,mirafiori sud,23,86,23 mirafiori sud,34188,2.5155025155025155,2075.9453908557357,0.47598688206000245,0.3163993830674461,0.6547470812531977,-0.02749510339724455,Medium Opportunity,7.619443880052754,45.02274643837751
10,Mercati generali,mercati generali,10,89,10 mercati generali,47124,1.888634241575418,423.253130507643,0.7902344224462529,0.2296657807405535,0.06753715893035035,0.26171503505555,Very High Opportunity,7.652371503674912,45.02984992100096
14,Parella,parella,14,28,14 parella,47185,0.5934089223270107,2741.6872446485495,0.7917162638163489,0.050458182532323544,0.891288530397764,0.1603542487514909,High Opportunity,7.628719469317485,45.08254135349918
4,San Paolo,san paolo,04,168,4 san paolo,33352,5.0371791796593905,305.27862973492,0.45567836754524477,0.665299000551395,0.025620221883500275,-0.03292342917432814,Medium Opportunity,7.645523705768168,45.05963889794941
11,Santa Rita,santa rita,11,129,11 santa rita,55185,2.337591736885023,1709.7622127264012,0.9860561156322118,0.29178361710180084,0.5246403452659604,0.236672916995673,Very High Opportunity,7.646196421146747,45.045154398722865
9,Nizza millefonti,nizza millefonti,09,207,9 nizza millefonti,27762,7.4562351415604065,385.85387771880306,0.3198833960889105,1.0,0.054249015183345864,-0.2169022747966594,Very Low Opportunity,7.667283228965178,45.02946339622624
12,Mirafiori Nord,mirafiori nord,12,133,12 mirafiori nord,42030,3.164406376397811,1256.300334691317,0.6664885218025022,0.40618183300177346,0.3635230455932006,0.08505158414186519,High Opportunity,7.627654799831758,45.04225882145165
